                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.72443,                0.41412,                 1.0164,                0.90652,                0.88138,                0.93274,                0.71309,                0.73987,                0.53803,                0.94054,              0.0092278,              0.0092278,              0.0092278
                     80,                0.71874,                0.41185,                 1.0083,                 0.8911,                0.88171,                0.92868,                0.70564,                 0.7552,                0.54087,                0.95374,              0.0092179,              0.0092179,              0.0092179
                     81,                0.72406,                0.41589,                  1.009,                 0.8764,                0.84396,                0.89288,                0.67105,                0.81188,                0.60608,                 1.0099,               0.009208,               0.009208,               0.009208
                     82,                0.72101,                0.41624,                 1.0178,                0.88956,                0.89549,                0.93028,                0.69957,                 0.8041,                0.53732,                0.97556,              0.0091981,              0.0091981,              0.0091981
                     83,                0.71242,                0.40794,                 1.0106,                0.87573,                0.88378,                0.92883,                 0.7058,                0.77506,                0.59171,                0.96409,              0.0091882,              0.0091882,              0.0091882
                     84,                0.71044,                0.41338,                 1.0076,                0.90643,                0.85657,                0.91323,                  0.702,                0.76175,                0.55414,                0.96031,              0.0091783,              0.0091783,              0.0091783
                     85,                0.70738,                0.40245,                 1.0121,                0.92699,                0.89772,                 0.9385,                0.70546,                0.77154,                0.52465,                0.97034,              0.0091684,              0.0091684,              0.0091684
                     86,                0.71256,                0.41002,                 1.0081,                0.90095,                0.86678,                0.92299,                0.68973,                0.87007,                0.64309,                 1.0825,              0.0091585,              0.0091585,              0.0091585
                     87,                0.70533,                0.40219,                 1.0055,                0.88684,                0.87509,                 0.9243,                0.68965,                0.88442,                0.57159,                 1.1113,              0.0091486,              0.0091486,              0.0091486
                     88,                0.71527,                 0.4076,                 1.0066,                 0.8962,                0.90695,                0.94106,                0.70367,                0.80981,                0.55602,                 1.0377,              0.0091387,              0.0091387,              0.0091387
                     89,                0.69925,                0.40124,                0.99649,                0.89538,                0.89029,                0.92886,                 0.6987,                0.76507,                0.54449,                0.96947,              0.0091288,              0.0091288,              0.0091288
                     90,                0.69292,                0.39781,                 1.0018,                0.91666,                0.90374,                0.93741,                0.71383,                0.78554,                0.55055,                0.99455,              0.0091189,              0.0091189,              0.0091189
                     91,                0.70385,                0.40316,                 1.0054,                 0.9074,                0.91087,                0.94342,                0.71951,                0.76915,                0.58678,                0.97013,               0.009109,               0.009109,               0.009109
                     92,                0.70213,                0.40144,                 1.0028,                0.90548,                0.89894,                0.93434,                0.72055,                 0.7353,                 0.5034,                 0.9141,              0.0090991,              0.0090991,              0.0090991
                     93,                0.69692,                0.39936,                 0.9971,                0.88653,                0.91169,                0.93136,                0.70818,                0.78387,                0.57746,                 1.0082,              0.0090892,              0.0090892,              0.0090892
                     94,                0.69219,                0.39635,                0.99943,                0.90051,                0.91341,                0.94184,                0.71442,                0.79761,                0.53889,                 1.0316,              0.0090793,              0.0090793,              0.0090793
                     95,                0.69571,                0.40144,                0.99852,                0.82067,                0.82305,                0.87706,                0.66708,                0.80204,                0.57626,                 1.0125,              0.0090694,              0.0090694,              0.0090694
                     96,                0.69985,                0.40002,                 1.0064,                0.78497,                0.85959,                0.87436,                0.65426,                0.87106,                0.71149,                 1.0695,              0.0090595,              0.0090595,              0.0090595
